20240104	16:06:24	57b1e3f8-012b-4548-8a07-c2b9587dfb91	Error: Not allowed by CORS	OPTIONS	/	https://www.google.com
20240104	16:06:24	1162c7e9-ece7-4840-a9f1-0fcec0c6f465	Error: Not allowed by CORS	GET	/	https://www.google.com
20240104	18:14:53	6839ae34-da9b-4081-9e5d-a60c381ca706	SyntaxError: Expected ',' or '}' after property value in JSON at position 33	POST	/users	undefined
20240104	18:16:09	d89ecabb-1341-4dc9-82d1-672e923c9718	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:17:09	460e7d33-a2c6-4832-9fc3-85faa914e318	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:17:46	1d2f1ab0-ac0d-43db-b427-6bb5166d6990	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:18:27	24a4e0d3-9df7-4f10-b58b-116b5771f149	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:18:44	434196ef-ef2c-4a74-b280-a56ca875acca	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:20:29	35f56117-763a-47b4-8ae1-a43a31a66148	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:24:55	4a498e48-ffc9-4278-b6c3-05f11cc140b3	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:26:00	6592a82d-b6e6-4471-8e23-d3827a5b154e	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:27:40	fb549eba-8fe4-4a00-bc11-0451aad9835e	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:27:42	ae716f00-3de6-46bd-a0bf-b0a8225e1f18	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:29:20	3c64586e-ae8c-4bee-93eb-ee2d877d3938	ValidationError: User validation failed: email: Path `email` is required.	POST	/users	undefined
20240104	18:38:07	8b02540f-e309-4bc4-acfa-b29eebaa41b7	SyntaxError: Expected ',' or '}' after property value in JSON at position 46	PATCH	/users	undefined
20240104	18:47:52	aec92e2e-9ef2-4ff3-9af3-fa3cee0b4c13	SyntaxError: Expected ',' or '}' after property value in JSON at position 64	PATCH	/users/6596ecd3f39eda1d341bc26d	undefined
